N,noise,sigma_std,phi_mean,chi_temporal,chi_between,chi_pooled,binder,max_drift,failed_drift,n
100,0.5,0.0,0.958773964982667,0.1401981123900324,0.0015287463476432572,0.14172685873767565,0.6649673073417877,0.0251190074957866,1,16
100,0.5,0.025,0.9574285798523893,0.13431509050010546,0.0016802057711482463,0.1359952962712537,0.6649736953155552,0.0172196355695394,0,16
100,0.5,0.05,0.9604837330185151,0.11468704921891865,0.0004889164501334121,0.11517596566905206,0.6652096048688041,0.0194050413081593,0,16
100,0.5,0.075,0.9577254638073449,0.1383339219467629,0.0013074464229410668,0.13964136836970395,0.6649545115518594,0.0192698369940678,0,16
100,0.5,0.1,0.9581267920711136,0.1423222274888232,0.002044367909794173,0.14436659539861738,0.6648854011259431,0.0351038928638567,1,16
100,0.5,0.125,0.9569035253306355,0.14238335316272901,0.0011468888842263128,0.14353024204695533,0.664846904443675,0.0171852487302205,0,16
100,0.5,0.15,0.9574663711542447,0.13301960276355038,0.001163240642703418,0.1341828434062538,0.6650164202364157,0.019329693331149,0,16
100,0.5,0.175,0.9544902392535511,0.1555467535696034,0.0024966916747112644,0.15804344524431466,0.6646969927507158,0.0278153319241392,2,16
100,0.5,0.2,0.9514708809482977,0.2116191587022316,0.0026474003027119643,0.21426655900494357,0.6641249157918604,0.0319147383638303,3,16
100,0.5,0.225,0.9475755718461216,0.21522380840929625,0.003186832412779646,0.2184106408220759,0.6639526697351574,0.0237106269152982,1,16
100,0.5,0.25,0.9392026376585395,0.3204319537091944,0.01275123761639439,0.3331831913255888,0.6626632296909812,0.0319697435077042,5,16
100,0.5,0.275,0.9232242136198026,0.5046573836185342,0.018265894190810053,0.5229232778093442,0.6603047296151987,0.0585057021256019,5,16
100,0.5,0.3,0.9048478701983638,0.787469055987404,0.08946167483532001,0.876930730822724,0.6565096374889955,0.0562098263097061,7,16
100,0.5,0.325,0.8619815137984556,1.3429968072464098,0.12812841127690372,1.4711252185233135,0.6486319558515361,0.0608207374375705,10,16
100,0.5,0.35,0.8323984456775586,1.647688410922373,0.08662647523213075,1.734314886154504,0.6444673627838111,0.0723470797961681,10,16
100,0.5,0.375,0.7890818227808742,1.793993430711796,0.11509045259058032,1.9090838833023762,0.6382798212414882,0.0736081393023332,9,16
100,0.5,0.4,0.7230665713487295,2.17617642905239,0.14598520216956823,2.322161631221958,0.6266555962282807,0.1081778076922441,13,16
100,0.5,0.425,0.629207559755234,2.6411552244117513,0.1777419434919105,2.818897167903662,0.6039410341404813,0.1118511078326169,13,16
100,0.5,0.45,0.5608778762904824,2.4159525743432932,0.25039405444439056,2.666346628787684,0.5904061819384319,0.1659390609206381,13,16
200,0.5,0.0,0.9736669399244005,0.034047962085168026,0.0003743624284216058,0.03442232451358963,0.6664339807546402,0.0074396595367005,0,16
200,0.5,0.025,0.973565929595626,0.03868788298358461,0.00062846183883858,0.03931634482242319,0.6664046369681282,0.008133118001775,0,16
200,0.5,0.05,0.9729845992759188,0.03762617504532856,0.0006431332657858784,0.038269308311114435,0.6664086269565124,0.006098871344722,0,16
200,0.5,0.075,0.9725388173302596,0.039897811031791575,0.0003990695715416267,0.0402968806033332,0.666394097206666,0.0105119073218629,0,16
200,0.5,0.1,0.9720814128675752,0.03841125945717727,0.0007097060645413941,0.03912096552171867,0.6664015662835561,0.0098338543013931,0,16
200,0.5,0.125,0.9724523579247822,0.039589331534796435,0.0007148079023158453,0.04030413943711228,0.6663961157094995,0.0074217284872374,0,16
200,0.5,0.15,0.9721282103870781,0.03974344512923805,0.0009599946568802223,0.040703439786118276,0.66639261771119,0.0076367164479655,0,16
200,0.5,0.175,0.9708622898474236,0.04907137256956462,0.00039662736488748517,0.049467999934452105,0.6663344877501988,0.0081440948016046,0,16
200,0.5,0.2,0.967167899650127,0.06610988859456352,0.0011607100707119137,0.06727059866527543,0.6662121458237755,0.0171216419207081,0,16
200,0.5,0.225,0.9634722063479368,0.10228105966633289,0.003966965510235189,0.10624802517656808,0.6659764506473935,0.0160057510445181,0,16
200,0.5,0.25,0.95689086540127,0.18376789269373833,0.015201124890485064,0.1989690175842234,0.6653935179808756,0.0137757976663511,0,16
200,0.5,0.275,0.9431026900297019,0.3755127280630474,0.017951137511410777,0.39346386557445817,0.664170675266369,0.0193090786077746,0,16
200,0.5,0.3,0.9289798838879728,0.5933668235044667,0.05591098192787253,0.6492778054323392,0.662663247807945,0.0323712037880231,4,16
200,0.5,0.325,0.892178573701587,1.2590199163693057,0.07353313138309188,1.3325530477523975,0.6582974818863512,0.0618876745045281,6,16
200,0.5,0.35,0.8494807302884937,1.9843032620465704,0.09417108773629218,2.0784743497828626,0.652841723666663,0.050439473100153,7,16
200,0.5,0.375,0.7982448706897387,2.8153667749056948,0.18278617916411444,2.998152954069809,0.6453867597164794,0.0886435832136149,14,16
200,0.5,0.4,0.7355210822376667,3.100247719144114,0.24127038413770752,3.3415181032818215,0.6381459548659448,0.1083268422022124,11,16
200,0.5,0.425,0.6754152617801967,3.4281614709774395,0.2540770629279799,3.6822385339054193,0.6308654886321681,0.0762230749252469,11,16
