noise,sigma_std,n,phi_mean,ci_lower,ci_upper
0.3,0.0,15,0.9900851233409078,0.988962451500136,0.9910363898129788
0.3,0.2,15,0.9892629118292026,0.9874766586569297,0.9904877787053766
0.3,0.35,15,0.8522480961675853,0.7943803879039019,0.894740507355361
0.3,0.45,15,0.5020304017762888,0.4331145505618079,0.568136674753763
0.5,0.0,30,0.9699374129847953,0.9672248743537334,0.9726553770893861
0.5,0.05,15,0.9723648149204904,0.9705848212054654,0.9743603793323768
0.5,0.1,15,0.9715454540134255,0.969205435431602,0.9738234066016483
0.5,0.15,15,0.9670148413262613,0.9624841539938997,0.9709529049328115
0.5,0.2,30,0.9687148279800868,0.9662362117416535,0.9710899683087825
0.5,0.25,35,0.9354153270020169,0.919609916867857,0.9492241761717328
0.5,0.3,20,0.9241106136474556,0.9040979159953665,0.9413165846211176
0.5,0.35,35,0.7544233748261582,0.7157470666080546,0.7915979878878648
0.5,0.4,20,0.6640801173250501,0.6171986269127412,0.7049311925277963
0.5,0.45,35,0.46382717221733705,0.426449664932485,0.5009281386926773
0.7,0.0,15,0.942877066417135,0.9366486323972513,0.9489482298493197
0.7,0.2,15,0.9380049184535159,0.9289191166859924,0.9461897324431883
0.7,0.35,15,0.6712137528430595,0.5662229142273163,0.7594593703975783
0.7,0.45,15,0.39207427382716964,0.31862097502320746,0.4684690475504148
