sigma,step,phi
0.0,1,0.12848088011581674
0.0,26,0.32338490867285924
0.0,51,0.45755566217962135
0.0,76,0.46589906326583425
0.0,101,0.6128288676638818
0.0,126,0.8884683450497892
0.0,151,0.9710246195922958
0.0,176,0.9601811533685266
0.0,201,0.9661296835679385
0.0,226,0.9673881735654484
0.0,251,0.9759906084979524
0.0,276,0.9751349202745879
0.0,301,0.9696948400060509
0.0,326,0.9798072202265219
0.0,351,0.9781372553789939
0.0,376,0.978170372685605
0.0,401,0.9812898418870064
0.0,426,0.9634619370784403
0.0,451,0.9611692635974074
0.0,476,0.9591043365181352
0.0,501,0.9637290347063374
0.0,526,0.9581286879665604
0.0,551,0.9804827927637962
0.0,576,0.9732712739655479
0.0,601,0.96884508088816
0.0,626,0.970532247460358
0.0,651,0.981936320301882
0.0,676,0.9806896838177966
0.0,701,0.978448630192915
0.0,726,0.9832845867023542
0.0,751,0.9826333047947649
0.0,776,0.9658956824900781
0.0,801,0.977851351575517
0.0,826,0.9806028798313127
0.0,851,0.9719790610023955
0.0,876,0.9780589238035646
0.0,901,0.9847069388293771
0.0,926,0.9595079285617918
0.0,951,0.9683898118127735
0.0,976,0.9544030179376496
0.0,1001,0.9389172884475645
0.0,1026,0.9430007717398114
0.0,1051,0.9292078263750055
0.0,1076,0.9683902417937561
0.0,1101,0.9708212822610017
0.0,1126,0.9736798820218652
0.0,1151,0.9608111795520181
0.0,1176,0.9448120438540017
0.0,1201,0.9677350990456602
0.0,1226,0.9799455209140987
0.0,1251,0.9788033263555329
0.0,1276,0.9767321135639307
0.0,1301,0.9533828504995975
0.0,1326,0.975467714963598
0.0,1351,0.977335090973377
0.0,1376,0.9560859441170309
0.0,1401,0.9731048154274994
0.0,1426,0.9809257016739871
0.0,1451,0.9735583892763741
0.0,1476,0.9651714310400551
0.0,1501,0.9760022027547334
0.0,1526,0.9764955970217871
0.0,1551,0.9762138722678417
0.0,1576,0.9753435709009949
0.0,1601,0.9675749294048336
0.0,1626,0.9616469564813279
0.0,1651,0.9649832399422529
0.0,1676,0.9730427042163695
0.0,1701,0.9757797526300178
0.0,1726,0.9670657655402235
0.0,1751,0.9688025003752757
0.0,1776,0.9766012227076231
0.0,1801,0.9638915852943635
0.0,1826,0.9604672547352613
0.0,1851,0.9700402211252727
0.0,1876,0.9703399135979561
0.0,1901,0.9808254699375861
0.0,1926,0.9676486676916052
0.0,1951,0.9597033256163215
0.0,1976,0.9501839945576298
0.0,2001,0.9478008174601712
0.0,2026,0.9605571273442436
0.0,2051,0.9812549424226513
0.0,2076,0.9734184743404404
0.0,2101,0.9828542166037403
0.0,2126,0.976348234393045
0.0,2151,0.957093269314305
0.0,2176,0.9474719025620818
0.0,2201,0.9692467955160888
0.0,2226,0.954269966213772
0.0,2251,0.954711889727211
0.0,2276,0.9725582648852115
0.0,2301,0.9759628016426566
0.0,2326,0.9645163887860654
0.0,2351,0.9596915763138407
0.0,2376,0.9774431596149621
0.0,2401,0.9647553493763906
0.0,2426,0.9767416519473077
0.0,2451,0.9721266061794986
0.0,2476,0.9810183813362384
0.0,2501,0.9788682498514146
0.0,2526,0.9672642865806883
0.0,2551,0.9719155160542245
0.0,2576,0.9807123138364744
0.0,2601,0.9764919288406109
0.0,2626,0.974368473181132
0.0,2651,0.9547861826802498
0.0,2676,0.9714121949731911
0.0,2701,0.9827104854335446
0.0,2726,0.9530759817829898
0.0,2751,0.9474851118109805
0.0,2776,0.9608444848864881
0.0,2801,0.9570821732019854
0.0,2826,0.9800560714844845
0.0,2851,0.9745649157923851
0.0,2876,0.9785609819220021
0.0,2901,0.9756893622496186
0.0,2926,0.9705010870006668
0.0,2951,0.9849276339305464
0.0,2976,0.9721381961042824
0.0,3001,0.9743647056172725
0.0,3026,0.975361420400894
0.0,3051,0.9781083110594713
0.0,3076,0.9699983536606549
0.0,3101,0.9728998828926659
0.0,3126,0.9804289519191979
0.0,3151,0.959886079571179
0.0,3176,0.9633314186677835
0.0,3201,0.9659932776752477
0.0,3226,0.9446334347197896
0.0,3251,0.9556741166418677
0.0,3276,0.9670684601671559
0.0,3301,0.9727483658203135
0.0,3326,0.9758262579840598
0.0,3351,0.964515361046842
0.0,3376,0.9802899233150806
0.0,3401,0.953362996454612
0.0,3426,0.9755333682414703
0.0,3451,0.9699234270224213
0.0,3476,0.9716890820819406
0.0,3501,0.9729817134369257
0.0,3526,0.9609582676084444
0.0,3551,0.9660932397416625
0.0,3576,0.9788189860262301
0.0,3601,0.9812035770808386
0.0,3626,0.9717798828610328
0.0,3651,0.9818915561950246
0.0,3676,0.9783027932249064
0.0,3701,0.9763437193819015
0.0,3726,0.9643883834326806
0.0,3751,0.9777499693419617
0.0,3776,0.9696150448632851
0.0,3801,0.9607222567244064
0.0,3826,0.9848540243377151
0.0,3851,0.9656504892836475
0.0,3876,0.9714739971205641
0.0,3901,0.9770726463830038
0.0,3926,0.968390063182895
0.0,3951,0.9710629036187242
0.0,3976,0.9539885036117833
0.0,4001,0.9616971530134026
0.0,4026,0.9774081025119409
0.0,4051,0.9812758452993502
0.0,4076,0.9707408085914498
0.0,4101,0.9682920698293213
0.0,4126,0.974184968247094
