sigma,seed,step,phi
0.25,1,1,0.07661755237476156
0.25,1,51,0.6884880095875221
0.25,1,101,0.9240307606405711
0.25,1,151,0.9503423061421908
0.25,1,201,0.9637727608742981
0.25,1,251,0.9631029744237453
0.25,1,301,0.9445130913425593
0.25,1,351,0.9011567785757982
0.25,1,401,0.9489142246721743
0.25,1,451,0.9576284749844457
0.25,1,501,0.9519795107415864
0.25,1,551,0.9644398802059755
0.25,1,601,0.9533015357110933
0.25,1,651,0.9673953467238341
0.25,1,701,0.9607818692121951
0.25,1,751,0.9689622566659011
0.25,1,801,0.9677169320667052
0.25,1,851,0.9695069747352796
0.25,1,901,0.9537836392761834
0.25,1,951,0.9468624832871103
0.25,1,1001,0.9707121935375845
0.25,1,1051,0.9688815849747336
0.25,1,1101,0.9692161488933758
0.25,1,1151,0.9692310161027428
0.25,1,1201,0.9594112822862925
0.25,1,1251,0.9455868640899535
0.25,1,1301,0.9424370882866605
0.25,1,1351,0.9687274553491307
0.25,1,1401,0.9643857463389431
0.25,1,1451,0.9651118466623436
0.25,1,1501,0.953309276735062
0.25,1,1551,0.9718358091910503
0.25,1,1601,0.9668389484621382
0.25,1,1651,0.9650527658650199
0.25,1,1701,0.9480088231913871
0.25,1,1751,0.9589050240585798
0.25,1,1801,0.9282828632959255
0.25,1,1851,0.9467172387310394
0.25,1,1901,0.9381111173470276
0.25,1,1951,0.9334250120063886
0.25,1,2001,0.9590090605276266
0.25,1,2051,0.9716035877567633
0.25,1,2101,0.9413070405590634
0.25,1,2151,0.970748412183388
0.25,1,2201,0.9441216065587357
0.25,1,2251,0.9363226664069979
0.25,1,2301,0.9337189831977912
0.25,1,2351,0.9260844269222651
0.25,1,2401,0.9803056107182834
0.25,1,2451,0.9629630430532818
0.25,1,2501,0.9677901424025617
0.25,1,2551,0.9388653241232982
0.25,1,2601,0.9694042292694393
0.25,1,2651,0.9568535158571893
0.25,1,2701,0.9775074708897963
0.25,1,2751,0.9780086629487437
0.25,1,2801,0.9640012319344962
0.25,1,2851,0.9737785618451728
0.25,1,2901,0.9596926324225311
0.25,1,2951,0.962599793202059
0.25,1,3001,0.9278306435272464
0.25,1,3051,0.954653850990652
0.25,1,3101,0.9344231832478789
0.25,1,3151,0.958479540601625
0.25,1,3201,0.9600311248800575
0.25,1,3251,0.9602742663380667
0.25,1,3301,0.9593821613538521
0.25,1,3351,0.9365530602486113
0.25,1,3401,0.9636764388689778
0.25,1,3451,0.9577980743235726
0.25,1,3501,0.9491817040216355
0.25,1,3551,0.9647159791736627
0.25,1,3601,0.9664758332344258
0.25,1,3651,0.9677130661176394
0.25,1,3701,0.9608766529245125
0.25,1,3751,0.9518591769104102
0.25,1,3801,0.9663505415472399
0.25,1,3851,0.9782321338122938
0.25,1,3901,0.9658436322084144
0.25,1,3951,0.9497668724410194
0.25,1,4001,0.9678795835262198
0.25,1,4051,0.9682191509794353
0.25,1,4101,0.9690237021437592
0.25,1,4151,0.9742774233676263
0.25,1,4201,0.9734361065277336
0.25,1,4251,0.9635167956895366
0.25,1,4301,0.9404425413102124
0.25,1,4351,0.9405385585165594
0.25,1,4401,0.9177074640781909
0.25,1,4451,0.9656545110196239
0.25,1,4501,0.9753330665317483
0.25,1,4551,0.9691567160165763
0.25,1,4601,0.9650601569409509
0.25,1,4651,0.9713746523648887
0.25,1,4701,0.9725322574242068
0.25,1,4751,0.9704610725334167
0.25,1,4801,0.9517416716973018
0.25,1,4851,0.9565611771647511
0.25,1,4901,0.944106910572206
0.25,1,4951,0.9726653545904407
0.25,1,5001,0.9582301163394868
0.25,1,5051,0.9525724975980774
0.25,1,5101,0.9185294611995001
0.25,1,5151,0.9011952414509984
0.25,1,5201,0.9478486211239987
0.25,1,5251,0.9409015514862498
0.25,1,5301,0.9249708362486732
0.25,1,5351,0.9580506031517928
0.25,1,5401,0.9703183829449539
0.25,1,5451,0.9348789356687908
0.25,1,5501,0.9262589644494934
0.25,1,5551,0.9524932341231428
0.25,1,5601,0.9658282116040484
0.25,1,5651,0.9563913962116182
0.25,1,5701,0.9681965057803426
0.25,1,5751,0.9379244097371378
0.25,1,5801,0.9677399089929907
0.25,1,5851,0.9576716766070061
0.25,1,5901,0.9573376383050135
0.25,1,5951,0.974035098711198
0.25,1,6001,0.977457188937065
0.25,1,6051,0.9658041255653577
0.25,1,6101,0.9397562394180559
0.25,1,6151,0.9626699135239177
0.25,1,6201,0.9738597450268724
0.25,1,6251,0.9604683971119616
0.25,1,6301,0.9686510790991024
0.25,1,6351,0.9536012883831022
0.25,1,6401,0.9619994899095542
0.25,1,6451,0.9740460852922808
0.25,1,6501,0.950539763950329
0.25,1,6551,0.9570265574975935
0.25,1,6601,0.9493421410299288
0.25,1,6651,0.9658299512215766
0.25,1,6701,0.960800203848738
0.25,1,6751,0.9272477464234726
0.25,1,6801,0.95140131075986
0.25,1,6851,0.9560071060984064
0.25,1,6901,0.9495815783301896
0.25,1,6951,0.9516120803144302
0.25,1,7001,0.9660574704493786
0.25,1,7051,0.9471312957544311
0.25,1,7101,0.9220976250436035
0.25,1,7151,0.9632584798569801
0.25,1,7201,0.9594334241477199
0.25,1,7251,0.9742941196618369
0.25,1,7301,0.9366388813777957
0.25,1,7351,0.9359997316612509
0.25,1,7401,0.8903217784161064
0.25,1,7451,0.9454568647702891
0.25,1,7501,0.9499776937560083
0.25,1,7551,0.9618336607683579
0.25,1,7601,0.9060812701298406
0.25,1,7651,0.9088445918741794
0.25,1,7701,0.9334736711914942
0.25,1,7751,0.9667810739165973
0.25,1,7801,0.9702653553249783
0.25,1,7851,0.9778539654593879
0.25,1,7901,0.958988913461653
0.25,1,7951,0.9746040988236556
0.25,1,8001,0.9567629541717383
0.25,1,8051,0.9289469115628527
0.25,1,8101,0.9605139025253925
0.25,1,8151,0.9518334944532251
0.25,1,8201,0.9647997315035703
0.25,1,8251,0.9502385695269241
0.25,1,8301,0.9702739101914362
0.25,1,8351,0.9757333657799495
0.25,1,8401,0.9639693334807021
0.25,1,8451,0.9640980047824137
0.25,1,8501,0.9683278624161878
0.25,1,8551,0.9711976820438922
0.25,1,8601,0.9666849844624683
0.25,1,8651,0.9475468021319602
0.25,1,8701,0.9580990169388277
0.25,1,8751,0.9556484720688276
0.25,1,8801,0.9704883321413723
0.25,1,8851,0.9779455828276483
0.25,1,8901,0.9729356149530859
0.25,1,8951,0.9481981540805637
0.25,1,9001,0.9309145874367497
0.25,1,9051,0.9625590353816271
0.25,1,9101,0.9797347956882642
0.25,1,9151,0.9776955168699383
0.25,1,9201,0.9587875173887472
0.25,1,9251,0.9760861100154447
0.25,1,9301,0.9815089647031224
0.25,1,9351,0.9529879724175975
0.25,1,9401,0.9690292622753973
0.25,1,9451,0.9668426370315555
0.25,1,9501,0.9799230090854156
0.25,1,9551,0.9712841595148265
0.25,1,9601,0.9639243422030789
0.25,1,9651,0.980233379624158
0.25,1,9701,0.9732634511122925
0.25,1,9751,0.9767636632306654
0.25,1,9801,0.9652376601850856
0.25,1,9851,0.975178070520567
0.25,1,9901,0.9708353077456904
0.25,1,9951,0.9697425060005115
0.25,1,10001,0.9650733704141001
0.25,1,10051,0.9667593861079378
0.25,1,10101,0.9575553112704329
0.25,1,10151,0.9586550217712321
0.25,1,10201,0.951304224483188
0.25,1,10251,0.97705151071116
0.25,1,10301,0.9738761822662304
0.25,1,10351,0.9722893047153641
0.25,1,10401,0.9773224564749526
0.25,1,10451,0.9763216138654907
0.25,1,10501,0.9735610649405693
0.25,1,10551,0.9720496104489615
0.25,1,10601,0.9721494856705195
0.25,1,10651,0.9683712044625271
0.25,1,10701,0.9659340077640797
0.25,1,10751,0.9675572521549565
0.25,1,10801,0.9737564069360659
0.25,1,10851,0.9800823539803234
0.25,1,10901,0.9751443112512619
0.25,1,10951,0.9697351999227762
0.25,1,11001,0.9705753216592977
