N,sigma_std,phi_mean,phi_sd,chi,binder,ar1,drift,real_std,n
100,0.0,0.958773964982667,0.004038146568438876,0.14172685873767854,0.6649673073417874,0.9890867401631992,0.02511900749578666,0.0,16
100,0.025,0.9574285798523893,0.004233461337044173,0.13599529627124074,0.6649736953155552,0.9887547677137905,0.017219635569539427,0.02466705315591791,16
100,0.05,0.9604837330185152,0.0022836612711659037,0.11517596566902322,0.6652096048688041,0.9885547319654535,0.019405041308159343,0.04991958359740101,16
100,0.075,0.9577254638073449,0.003734447104731552,0.13964136836969177,0.6649545115518594,0.9891472948372105,0.019269836994067813,0.07645563619757634,16
100,0.1,0.9581267920711137,0.004669752781229883,0.14436659539861507,0.6648854011259431,0.9896981668529702,0.035103892863856734,0.10200346355294795,16
100,0.125,0.9569035253306354,0.00349763940847926,0.14353024204697418,0.6648469044436751,0.9901189055334775,0.017185248730220537,0.1292350902202091,16
100,0.15,0.9574663711542449,0.0035224849451539917,0.13418284340621645,0.6650164202364156,0.9887016656804313,0.01932969333114909,0.15410464851744052,16
100,0.175,0.9544902392535511,0.0051605598401323486,0.1580434452443158,0.6646969927507158,0.9894827925545319,0.02781533192413921,0.17908767549564947,16
100,0.2,0.9514708809482977,0.0053140320437743615,0.21426655900492753,0.6641249157918603,0.9914042306681072,0.0319147383638303,0.20633297476233303,16
100,0.225,0.9475755718461218,0.005830341248130337,0.2184106408220421,0.6639526697351574,0.9915798555083484,0.02371062691529824,0.2245353201534574,16
100,0.25,0.9392026376585395,0.011662469774517778,0.33318319132558116,0.6626632296909813,0.9929004409894034,0.03196974350770421,0.2459999192077352,16
100,0.275,0.9232242136198026,0.01395837399921544,0.5229232778093507,0.6603047296151987,0.9948238823697355,0.05850570212560191,0.2727106496980775,16
100,0.3,0.9048478701983637,0.030891064483278656,0.876930730822767,0.6565096374889956,0.9953098719358929,0.05620982630970617,0.29059044040697446,16
100,0.325,0.8619815137984556,0.03696894715325697,1.471125218523317,0.6486319558515361,0.9969159244265177,0.06082073743757055,0.3116072182139153,16
100,0.35,0.8323984456775587,0.030397627141100912,1.7343148861544977,0.6444673627838112,0.9970803132740954,0.07234707979616817,0.33691637572680466,16
100,0.375,0.7890818227808744,0.03503757260855157,1.9090838833023538,0.6382798212414882,0.9970660053876358,0.07360813930233323,0.3627481963330187,16
