N,sigma_std,noise,seed,phi,phi2,phi4,ar1,drift,real_std
100,0.0,0.5,1,0.9623442427313732,0.9272124279617948,0.8633802599359118,0.9893263903996223,0.0028124274965374285,0.0
100,0.0,0.5,2,0.9506032326503446,0.9054126978651766,0.825278915822093,0.9905492373360024,0.005515459412147594,0.0
100,0.0,0.5,3,0.9594565403877481,0.9220370363352233,0.8548289791844148,0.9915902235311279,0.007198905078730777,0.0
100,0.0,0.5,4,0.958114315869396,0.9190576209192705,0.8482533940920773,0.9874657409661196,0.0003267339084779275,0.0
100,0.0,0.5,5,0.9622112320911885,0.9267903834939669,0.8620952306591829,0.9879876200009117,0.002468239963741903,0.0
100,0.0,0.5,6,0.9589654587264257,0.9206293704201853,0.8510026268866284,0.9873532008054142,0.016759703293782513,0.0
100,0.0,0.5,7,0.965440706110043,0.9327494816482844,0.8723536217217296,0.9847419506954728,0.011459167687941973,0.0
100,0.0,0.5,8,0.9615981369678455,0.9258922507970361,0.8612763312158535,0.9903242743313402,0.0008078672762280581,0.0
100,0.0,0.5,9,0.9613004293330211,0.9252175386202344,0.859723985433892,0.9889469984699967,0.0011777982866173486,0.0
100,0.0,0.5,10,0.958054578971405,0.9188767811947742,0.8477228756316494,0.987085836043291,0.012385517482924269,0.0
100,0.0,0.5,11,0.9600395772857755,0.9225724807781782,0.8541472734820976,0.985943151731495,0.008151047565481906,0.0
100,0.0,0.5,12,0.9575474242909017,0.9179696585342794,0.8461958047791819,0.9874696203232488,0.0018666432097945718,0.0
100,0.0,0.5,13,0.9496956742874314,0.9069001201808493,0.8336480767283386,0.9968665852619784,0.02511900749578666,0.0
100,0.0,0.5,14,0.9563069204252873,0.9158014922450431,0.8429326998823732,0.988657673154396,0.001295418150352723,0.0
100,0.0,0.5,15,0.9587442070306761,0.9209522103591786,0.8536838350614263,0.9929917162081743,0.0166232692070869,0.0
100,0.0,0.5,16,0.9599607625638109,0.9225650009019055,0.8545944396505183,0.9880876233525967,0.006881490212559571,0.0
100,0.025,0.5,1,0.95527625085377,0.9137843036430122,0.8390826495414807,0.9881207933746413,0.01379710640691767,0.022130953483856998
100,0.025,0.5,2,0.9551669334500857,0.9139209192771952,0.840224012473075,0.9910865858473015,0.0067013845950864015,0.02353710877905699
100,0.025,0.5,3,0.9512370343487652,0.9075792130590787,0.8311139461555292,0.9944483033210506,0.0031517022930936944,0.02310393267667369
100,0.025,0.5,4,0.956776436010193,0.9162827265034262,0.8425278834056058,0.9834973859366654,0.014105480576198537,0.02416501004489684
100,0.025,0.5,5,0.9554230731812849,0.9142716261797345,0.8404898877774842,0.99002872775178,0.007215705416604767,0.024858247917206602
100,0.025,0.5,6,0.9667827894792126,0.9354723014537881,0.8778352250501582,0.9878514418074427,0.00539963127762122,0.024281024583618256
100,0.025,0.5,7,0.9542622140612198,0.911996857270801,0.8362347782513662,0.9895596425646932,0.0016277872723080566,0.02550734299441991
100,0.025,0.5,8,0.9601215632263891,0.9226855295478974,0.8542624934761381,0.984964181972172,0.009492053891080099,0.025340124648504825
100,0.025,0.5,9,0.9625444964206068,0.9271171395826253,0.8617214320324645,0.9811760637743879,0.0014311126687390763,0.027775058194816137
100,0.025,0.5,10,0.9609087352230429,0.9251643123093829,0.8610679756682484,0.9930918813490098,0.004965242713326212,0.022731392376134973
100,0.025,0.5,11,0.9574185951381434,0.9182414713972418,0.8482218952016044,0.9914278435932347,0.002642931115205971,0.026429860955560398
100,0.025,0.5,12,0.957127466188243,0.9173471288432156,0.8454036119808573,0.9897704677350696,0.0065417756096222135,0.025516407892158175
100,0.025,0.5,13,0.9544513706181224,0.9123804894063705,0.8369776283926101,0.9894209563983407,0.003518537896956553,0.02455297249688348
100,0.025,0.5,14,0.9552321409965394,0.9136002498307949,0.8384545428009229,0.9867988399850142,0.017219635569539427,0.026322643726089282
100,0.025,0.5,15,0.9526487042249577,0.9095098736701402,0.8332752048575337,0.9920693068293877,0.012009784568074222,0.02507864868967654
100,0.025,0.5,16,0.963479474217652,0.9291168737193021,0.8660419881201916,0.9867638611804564,0.007372484771412169,0.02334212103513346
100,0.05,0.5,1,0.9589542468169897,0.9206779570989045,0.8512354439494422,0.9880614988442092,0.01885151409572028,0.05128574399847573
100,0.05,0.5,2,0.9610518170181773,0.9252041167887449,0.8608203500139563,0.992277273828024,0.017081144545236793,0.04696699260117015
100,0.05,0.5,3,0.9574285837508892,0.9175748261209529,0.8450166894746542,0.9850924367514323,0.004649542199058332,0.04620304309680546
100,0.05,0.5,4,0.958473826751913,0.9198087648803499,0.8497529396057613,0.9884094146633268,0.002084062177996171,0.0485060496922696
100,0.05,0.5,5,0.9621001240197291,0.9263672096096525,0.860689671545447,0.983879576694791,0.004361841955642931,0.0492435755450203
100,0.05,0.5,6,0.9580452900102031,0.918994969224956,0.8483620986309596,0.9887894981502138,0.0028386613059541155,0.04861983853363193
100,0.05,0.5,7,0.9642828090464838,0.9306850362373289,0.8690137638225669,0.9871040528408872,0.005479629253338003,0.05125224969765542
100,0.05,0.5,8,0.9599671582653929,0.9233116709951024,0.8578817706016565,0.9926485214513993,0.0032584566370292833,0.05114489632332167
